subid,order,practice1,practice2,practice3,practice4,practice5,practice6,trial1_comp_like,trial1_comp_tell,trial1_SWhy,trial1_LFeel,trial1_1,trial1_2,trial1_3,trial2_comp_like,trial2_comp_tell,trial2_SWhy,trial2_LFeel,trial2_1,trial2_2,trial2_3,trial1_2_play,trial1_2_playWhy,trial3_comp_like,trial3_comp_tell,trial3_SWhy,trial3_LFeel,trial3_1,trial3_2,trial3_3,trial4_comp_like,trial4_comp_tell,trial4_SWhy,trial4_LFeel,trial4_1,trial4_2,trial4_3,trial3_4_play,trial3_4_playWhy,trial5_comp_like,trial5_comp_tell,trial5_SWhy,trial5_LFeel,trial5_1,trial5_2,trial5_3,trial6_comp_like,trial6_comp_tell,trial6_SWhy,trial6_LFeel,trial6_1,trial6_2,trial6_3,trial5_6_play,trial5_6_playWhy,trial7_comp_like,trial7_comp_tell,trial7_SWhy,trial7_LFeel,trial7_1,trial7_2,trial7_3,trial8_comp_like,trial8_comp_tell,trial8_SWhy,trial8_LFeel,trial8_1,trial8_2,trial8_3,trial7_8_play,trial7_8_playWhy
180726-06,3,Y,Y,Y,Y,Y,Y,Y,Y,Not make feel bad,Good,N,N,Y,Y,Y,Truth,Not good,Y,Y,N,Gabby,friendly and doesn't judge,Y,Y,Truth,Bad,Y,Y,N,Y,Y,Not make feel bad,Good,N,N,Y,Colin,polite,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,more trustworthy,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,trustworthy and doesn't lie
180730-01,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,told truth,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,Tell truth,Bad,Y,Y,N,Y,Y,Not hurt feelings,Good,N,N,Y,Colin,nice,Y,Y,Right thing to say,Good,N,N,Y,Y,Y,Tell truth,Bad,Y,Y,N,Gabby,nice
180730-02,3,Y,Y,Y,Y,Y,Y,Y,Y,Stay friends,Happy,N,IDK,IDK,Y,Y,Truth,Happy,Y,N,Y,Nancy,honest,Y,Y,Honest,Happy,Y,N,N,Y,Y,Stay friends,Happy,N,Y,N,Bobby,honest,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,honest,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,honest
180730-03,1,Y,Y,Y,Y,Y,Y,Y,Y,It was his cookie,Sad,N,Y,Y,Y,Y,Make feel good,Happy,Y,N,N,Mary,makes people feel good,Y,Y,Make feel good,Good,Y,N,N,Y,Y,Truth,Sad,N,Y,Y,Stanley,makes people feel good,Y,Y,NA,NA,N,Y,Y,Y,Y,NA,NA,Y,N,N,Colin,makes people feel good,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,Y,N,Y,Gabby,makes people feel good
180730-04,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,Y,N,Y,Nancy,tells truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,N,Colin,tells truth,Y,Y,Don't know,Sad,Y,N,Y,Y,Y,Don't know,Sad,N,Y,N,Richard,tells truth,Y,Y,Didn’t like it,Sad,Y,N,Y,Y,Y,Don't know,Sad,N,Y,N,Sally,tells truth
180730-05,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,N,N,N,Y,Y,NA,NA,Y,N,Y,Don't know,NA,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,N,N,Bobby,told truth,Y,Y,Not make mad,Good,N,N,N,Y,Y,Didn't like it,Upset,N,N,Y,Richard,told truth and did the right thing,Y,Y,Didn't like it,Upset,N,N,Y,Y,Y,Didn't like it,Disappointed,N,N,N,Sally,told truth
180730-06,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,N,N,N,Y,Y,NA,NA,Y,N,Y,Nancy,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Bobby,told truth,Y,Y,Not hurt feelings,Don't know,N,Y,N,Y,Y,Truth,Bad,Y,N,Y,Richard,told truth,Y,Y,Truth,Bad,Y,N,Y,Y,Y,Don't know,Don’t know,N,Y,N,Sally,told truth
180730-07,3,Y,Y,Y,Y,Y,Y,Y,Y,Not make feel bad,Great,N,Y,N,Y,Y,Not lie,Bad,Y,N,Y,Nancy,better and tells truth,Y,Y,Knew it was mean,Bad,Y,N,Y,Y,Y,Not make feel bad,Good,N,Y,N,Bobby,nice,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,nicer,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,nicer
180730-08,1,Y,Y,Y,Y,Y,Y,Y,Y,To be mean,Sad,N,Y,Y,Y,Y,To be nice,Happy,Y,N,N,Mary,told a good lie,Y,Y,To be nice,Happy,Y,N,N,Y,Y,To be mean,Sad,N,Y,Y,Stanley,said it was pretty,Y,Y,NA,NA,N,Y,Y,Y,Y,NA,NA,Y,N,N,Colin,"said it was fun, gave friend confidence",Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,N,Y,Y,Gabby,made friend feel good
180730-09,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,N,Y,Mary,she's black like me,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,N,Y,Richard,I like him,Y,Y,Not lie,Disappointed,Y,N,Y,Y,Y,Not lie,Surprised,N,N,Y,Bobby,told truth,Y,Y,Not lie,Surprised,N,N,Y,Y,Y,Not lie,Surprised,Y,N,Y,Gabby,I like her hair
180801-01,1,Y,Y,Y,Y,Y,Y,Y,Y,Don't know,Upset,IDK,N,Y,Y,Y,Not upset him,Happy,Y,N,N,Both,Can't decide,Y,Y,Not upset her,Happy,Y,N,Y,Y,Y,Didn't like it,Upset,Y,N,Y,Richard,Don't know,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,Y,Colin,Don't know,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,Y,Gabby,Don't know
180801-02,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,N,Y,Sally,told truth,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,Didn't like it,Sad,Y,N,Y,Y,Y,To lie,Happy,N,N,Y,Bobby,told truth,Y,Y,To lie,Happy,N,N,Y,Y,Y,To not lie,Sad,Y,N,Y,Nancy,told truth
180801-03,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,told truth,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,N,Y,Stanley,nicer,Y,Y,Tell truth,Sad,Y,Y,N,Y,Y,Not make feel bad,Happy,N,N,Y,Colin,"nice, cares about feelings",Y,Y,Not make feel bad,Good,N,N,Y,Y,Y,Tell truth,Sad,Y,Y,Y,Gabby,nice
180801-04,3,Y,Y,Y,Y,Y,Y,Y,Y,Not hurt feelings,Surprised,N,N,Y,Y,Y,"Truth, be honest",Sad,Y,Y,N,Nancy,honest,Y,Y,Didn't like it,Sad,Y,Y,N,Y,Y,Not hurt feelings,Happy,N,N,Y,Bobby,honest,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,IDK,Y,Stanley,Said it was pretty,Y,Y,NA,NA,Y,Y,N,Y,Y,NA,NA,N,N,Y,Mary,said she liked it
180801-05,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Nancy,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Bobby,told truth,Y,Y,Afraid of the truth,Happy,N,Y,N,Y,Y,Truth,Sad & Happy,Y,N,Y,Richard,Told truth,Y,Y,Right thing to do,Disappointed & Happy,Y,N,Y,Y,Y,Not hurt feelings,Disappointed & Happy,N,Y,N,Sally,"told truth, good person"
180801-06,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,N,Y,N,Nancy,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Bobby,told truth,Y,Y,He was mean,Bad,N,Y,N,Y,Y,Truth,Bad,Y,N,Y,Richard,told truth,Y,Y,Truth,Bad,Y,N,Y,Y,Y,Not hurt feelings,Good,N,Y,N,Sally,told truth
180801-07,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,N,Y,Y,Gabby,didn't hurt feelings,Y,Y,NA,NA,N,Y,Y,Y,Y,NA,NA,Y,N,Y,Colin,truth?,Y,Y,Didn't really like it,Happy,Y,N,N,Y,Y,Didn't draw it right,Sad,N,Y,Y,Stanley,being kind,Y,Y,Didn't like it,Sad,N,Y,Y,Y,Y,Not hurt feelings,Happy,Y,N,Y,Mary,didn't hurt feelings
180801-08,3,Y,Y,Y,Y,Y,Y,Y,Y,Not hurt feelings,Happy,N,Y,N,Y,Y,Truth,Sad,Y,N,Y,Nancy,told truth,Y,Y,Truth,Sad,Y,N,Y,Y,Y,Not hurt feelings,Good,N,Y,N,Bobby,told truth,Y,Y,NA,NA,N,Y,Y,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Sally,told truth
180803-01,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,Y,Sally,told truth,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,Saying how he feels,Sad,Y,N,N,Y,Y,Not hurt feelings,Like she can't trust,N,Y,N,Bobby,told truth,Y,Y,Not hurt feelings,Like he can't trust,N,Y,N,Y,Y,Tell truth,Sad,Y,Y,Y,Nancy,"told truth, good friend"
180803-02,3,Y,Y,Y,Y,Y,Y,Y,Y,Don't know,Surprised,N,N,Y,Y,Y,Didn't like it,Not good,N,Y,N,Gabby,said it looked cool,Y,Y,Didn't like it,Bad,N,Y,N,Y,Y,Liked it,Nice,N,N,Y,Colin,nicer,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,Y,N,Stanley,said it was prety,Y,Y,NA,NA,Y,Y,N,Y,Y,NA,NA,N,N,Y,Mary,nicer
180803-03,1,Y,Y,Y,Y,Y,Y,Y,Y,Didn't like it,Hurt,N,N,Y,Y,Y,Don't know,Surprised,Y,N,Y,Mary,said it was tasty,Y,Y,Don't know,Surprised,Y,N,Y,Y,Y,Didn't like it,Sad,N,N,Y,Stanley,said it was pretty,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,N,Y,Colin,said it was fun,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,Y,N,Y,Gabby,said it looked cool
180803-04,1,Y,Y,Y,Y,Y,Y,Y,Y,Didn't like it,Bad,N,N,Y,Y,Y,Don't know,Bad,N,Y,Y,Mary,said it was yummy,Y,Y,Don't know,Bad,N,Y,Y,Y,Y,Don't know,Bad,N,Y,Y,Stanley,said it was pretty,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,Y,Colin,said it was fun,Y,Y,NA,NA,N,Y,Y,Y,Y,NA,NA,Y,N,Y,Nancy,told truth
180803-05,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Mary,nicer,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Stanley,nicer,Y,Y,Not tell truth,Bad,N,Y,N,Y,Y,Tell truth,Good,Y,N,Y,Colin,truthful,Y,Y,Liked it,Good,Y,N,Y,Y,Y,Not tell truth,Bad,N,Y,N,Gabby,truthful
180803-06,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,Y,N,Y,Nancy,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,N,N,Bobby,didn't lie,Y,Y,Not make sad,Happy,N,Y,N,Y,Y,Didn't like it,Sad,Y,N,Y,Richard,didn’t lie,Y,Y,Didn't like it,Sad & Happy,Y,Y,Y,Y,Y,Not hurt feelings,Sad,N,Y,N,Sally,told truth
180803-07,3,Y,Y,Y,Y,Y,Y,Y,Y,Not hurt feelings,Okay,N,Y,N,Y,Y,Tell truth,Shock,Y,Y,N,Nancy,told truth,Y,Y,Tell truth,Shock,Y,Y,N,Y,Y,Not hurt feelings,Happy,N,Y,N,Bobby,told truth,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,Y,N,Richard,told truth,Y,Y,NA,NA,Y,Y,N,Y,Y,NA,NA,N,Y,N,Sally,told truth
180803-08,3,Y,Y,Y,Y,Y,Y,Y,Y,To be nice,Happy,N,N,Y,Y,Y,Don't know,Sad,Y,N,Y,Nancy,told truth,Y,Y,It was boring,Sad,Y,N,Y,Y,Y,To not be mean,Happy,N,N,Y,Bobby,told truth,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,N,Y,Richard,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,N,Y,Sally,told truth
180806-01,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,Y,Sally,told truth,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,N,Y,Richard,don't know,Y,Y,It was boring,Sad,Y,N,Y,Y,Y,Lost his mind,Excited,N,N,Y,Bobby,don't know,Y,Y,Lost his mind,Happy,N,N,Y,Y,Y,Don't know,Sad,Y,N,Y,Nancy,don't know
180806-02,1,Y,Y,Y,Y,Y,Y,Y,Y,Don’t know,Mad,N,Y,Y,Y,Y,Not hurt feelings,Good,Y,N,N,Sally,told truth,Y,Y,Not hurt feelings,Happy,Y,N,N,Y,Y,Being honest,Upset,Y,N,Y,Richard,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,IDK,N,N,Bobby,told truth,Y,Y,NA,NA,Y,N,N,Y,Y,NA,NA,Y,N,Y,Nancy,told truth
180806-03,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,N,N,N,Y,Y,NA,NA,Y,N,Y,Nancy,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,N,N,Bobby,told truth,Y,Y,Make friend happy,Don't know,N,N,N,Y,Y,Tell truth,Don't know,Y,N,Y,Richard,told truth,Y,Y,Be nice,Don't know,Y,N,Y,Y,Y,Make feel good,Good,N,Y,N,Sally,told truth
180806-04,1,Y,Y,Y,Y,Y,Y,Y,Y,Tell truth,Sad,N,Y,Y,Y,Y,Not hurt feelings,Happy,Y,N,N,Sally,told truth,Y,Y,Not hurt feelings,Happy,Y,N,N,Y,Y,Tell truth,Sad,N,Y,Y,Richard,told truth,Y,Y,NA,NA,N,Y,Y,Y,Y,NA,NA,Y,N,N,Bobby,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,Y,Nancy,told truth
180806-05,3,Y,Y,Y,Y,Y,Y,Y,Y,Don't know,Sad,Y,N,Y,Y,Y,Wanted him to know,Upset,Y,N,Y,Gabby,said it was cool,Y,Y,Thought it was boring,Upset,Y,N,Y,Y,Y,Not hurt feelings,Happy,N,N,Y,Colin,didn't hurt feelings,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,N,Y,Richard,didn't lie,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,N,Y,Sally,told truth
180806-06,2,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Mary,made friend feel good,Y,Y,NA,NA,N,N,Y,Y,Y,NA,NA,Y,Y,N,Stanley,said it was pretty,Y,Y,That's what he thought,Sad,Y,Y,N,Y,Y,Make feel good,Happy,N,N,Y,Colin,said it was fun,Y,Y,Make feel good,Happy,N,N,Y,Y,Y,That's what he thought,Sad,Y,Y,N,Gabby,"nicer, said it was cool"
180806-07,1,Y,Y,Y,Y,Y,Y,Y,Y,Didn't like it,Sad,N,Y,Y,Y,Y,Not hurt feelings,Happy,N,Y,N,Sally,Doesn't lie to friends,Y,Y,Not hurt feelings,Happy,N,Y,N,Y,Y,It was ugly,Sad,Y,N,Y,Richard,doesn't lie to friends,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Bobby,doesn't lie to friends,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Nancy,doesn't lie to friends
180806-08,4,Y,Y,Y,Y,Y,Y,Y,Y,NA,NA,N,Y,N,Y,Y,NA,NA,Y,N,Y,Nancy,told truth,Y,Y,NA,NA,Y,N,Y,Y,Y,NA,NA,N,Y,N,Bobby,good sport,Y,Y,Make feel good,Surprised,Y,Y,N,Y,Y,Tell truth,Surprised,Y,N,Y,Richard,told truth,Y,Y,Tell truth,Surprised,Y,N,Y,Y,Y,Make feel good,Surprised,N,Y,N,Sally,told truth