order,trial,question,qkind,speaker,item,cond
1,1,1,nice,honest,cookie,expt
1,1,2,mean,honest,cookie,expt
1,1,3,truth,honest,cookie,expt
1,1,comp_like,NA,honest,cookie,expt
1,1,comp_tell,NA,honest,cookie,expt
1,1,LFeel,NA,honest,cookie,expt
1,1,play,NA,honest,cookie,expt
1,1,Pwhy,NA,honest,cookie,expt
1,1,SWhy,NA,honest,cookie,expt
1,2,1,nice,polite,cookie,expt
1,2,2,mean,polite,cookie,expt
1,2,3,truth,polite,cookie,expt
1,2,comp_like,NA,polite,cookie,expt
1,2,comp_tell,NA,polite,cookie,expt
1,2,LFeel,NA,polite,cookie,expt
1,2,play,NA,polite,cookie,expt
1,2,Pwhy,NA,polite,cookie,expt
1,2,SWhy,NA,polite,cookie,expt
1,3,1,nice,polite,drawing,expt
1,3,2,mean,polite,drawing,expt
1,3,3,truth,polite,drawing,expt
1,3,comp_like,NA,polite,drawing,expt
1,3,comp_tell,NA,polite,drawing,expt
1,3,LFeel,NA,polite,drawing,expt
1,3,play,NA,polite,drawing,expt
1,3,Pwhy,NA,polite,drawing,expt
1,3,SWhy,NA,polite,drawing,expt
1,4,1,nice,honest,drawing,expt
1,4,2,mean,honest,drawing,expt
1,4,3,truth,honest,drawing,expt
1,4,comp_like,NA,honest,drawing,expt
1,4,comp_tell,NA,honest,drawing,expt
1,4,LFeel,NA,honest,drawing,expt
1,4,play,NA,honest,drawing,expt
1,4,Pwhy,NA,honest,drawing,expt
1,4,SWhy,NA,honest,drawing,expt
1,5,1,nice,honest,game,cont
1,5,2,mean,honest,game,cont
1,5,3,truth,honest,game,cont
1,5,comp_like,NA,honest,game,cont
1,5,comp_tell,NA,honest,game,cont
1,5,LFeel,NA,honest,game,cont
1,5,play,NA,honest,game,cont
1,5,Pwhy,NA,honest,game,cont
1,5,SWhy,NA,honest,game,cont
1,6,1,nice,polite,game,cont
1,6,2,mean,polite,game,cont
1,6,3,truth,polite,game,cont
1,6,comp_like,NA,polite,game,cont
1,6,comp_tell,NA,polite,game,cont
1,6,LFeel,NA,polite,game,cont
1,6,play,NA,polite,game,cont
1,6,Pwhy,NA,polite,game,cont
1,6,SWhy,NA,polite,game,cont
1,7,1,nice,polite,toy,cont
1,7,2,mean,polite,toy,cont
1,7,3,truth,polite,toy,cont
1,7,comp_like,NA,polite,toy,cont
1,7,comp_tell,NA,polite,toy,cont
1,7,LFeel,NA,polite,toy,cont
1,7,play,NA,polite,toy,cont
1,7,Pwhy,NA,polite,toy,cont
1,7,SWhy,NA,polite,toy,cont
1,8,1,nice,honest,toy,cont
1,8,2,mean,honest,toy,cont
1,8,3,truth,honest,toy,cont
1,8,comp_like,NA,honest,toy,cont
1,8,comp_tell,NA,honest,toy,cont
1,8,LFeel,NA,honest,toy,cont
1,8,play,NA,honest,toy,cont
1,8,Pwhy,NA,honest,toy,cont
1,8,SWhy,NA,honest,toy,cont
2,1,1,truth,honest,cookie,cont
2,1,2,mean,honest,cookie,cont
2,1,3,nice,honest,cookie,cont
2,1,comp_like,NA,honest,cookie,cont
2,1,comp_tell,NA,honest,cookie,cont
2,1,LFeel,NA,honest,cookie,cont
2,1,play,NA,honest,cookie,cont
2,1,Pwhy,NA,honest,cookie,cont
2,1,SWhy,NA,honest,cookie,cont
2,2,1,truth,polite,cookie,cont
2,2,2,mean,polite,cookie,cont
2,2,3,nice,polite,cookie,cont
2,2,comp_like,NA,polite,cookie,cont
2,2,comp_tell,NA,polite,cookie,cont
2,2,LFeel,NA,polite,cookie,cont
2,2,play,NA,polite,cookie,cont
2,2,Pwhy,NA,polite,cookie,cont
2,2,SWhy,NA,polite,cookie,cont
2,3,1,truth,polite,drawing,cont
2,3,2,mean,polite,drawing,cont
2,3,3,nice,polite,drawing,cont
2,3,comp_like,NA,polite,drawing,cont
2,3,comp_tell,NA,polite,drawing,cont
2,3,LFeel,NA,polite,drawing,cont
2,3,play,NA,polite,drawing,cont
2,3,Pwhy,NA,polite,drawing,cont
2,3,SWhy,NA,polite,drawing,cont
2,4,1,truth,honest,drawing,cont
2,4,2,mean,honest,drawing,cont
2,4,3,nice,honest,drawing,cont
2,4,comp_like,NA,honest,drawing,cont
2,4,comp_tell,NA,honest,drawing,cont
2,4,LFeel,NA,honest,drawing,cont
2,4,play,NA,honest,drawing,cont
2,4,Pwhy,NA,honest,drawing,cont
2,4,SWhy,NA,honest,drawing,cont
2,5,1,truth,honest,game,expt
2,5,2,mean,honest,game,expt
2,5,3,nice,honest,game,expt
2,5,comp_like,NA,honest,game,expt
2,5,comp_tell,NA,honest,game,expt
2,5,LFeel,NA,honest,game,expt
2,5,play,NA,honest,game,expt
2,5,Pwhy,NA,honest,game,expt
2,5,SWhy,NA,honest,game,expt
2,6,1,truth,polite,game,expt
2,6,2,mean,polite,game,expt
2,6,3,nice,polite,game,expt
2,6,comp_like,NA,polite,game,expt
2,6,comp_tell,NA,polite,game,expt
2,6,LFeel,NA,polite,game,expt
2,6,play,NA,polite,game,expt
2,6,Pwhy,NA,polite,game,expt
2,6,SWhy,NA,polite,game,expt
2,7,1,truth,polite,toy,expt
2,7,2,mean,polite,toy,expt
2,7,3,nice,polite,toy,expt
2,7,comp_like,NA,polite,toy,expt
2,7,comp_tell,NA,polite,toy,expt
2,7,LFeel,NA,polite,toy,expt
2,7,play,NA,polite,toy,expt
2,7,Pwhy,NA,polite,toy,expt
2,7,SWhy,NA,polite,toy,expt
2,8,1,truth,honest,toy,expt
2,8,2,mean,honest,toy,expt
2,8,3,nice,honest,toy,expt
2,8,comp_like,NA,honest,toy,expt
2,8,comp_tell,NA,honest,toy,expt
2,8,LFeel,NA,honest,toy,expt
2,8,play,NA,honest,toy,expt
2,8,Pwhy,NA,honest,toy,expt
2,8,SWhy,NA,honest,toy,expt
3,1,1,truth,polite,toy,expt
3,1,2,mean,polite,toy,expt
3,1,3,nice,polite,toy,expt
3,1,comp_like,NA,polite,toy,expt
3,1,comp_tell,NA,polite,toy,expt
3,1,LFeel,NA,polite,toy,expt
3,1,play,NA,polite,toy,expt
3,1,Pwhy,NA,polite,toy,expt
3,1,SWhy,NA,polite,toy,expt
3,2,1,truth,honest,toy,expt
3,2,2,mean,honest,toy,expt
3,2,3,nice,honest,toy,expt
3,2,comp_like,NA,honest,toy,expt
3,2,comp_tell,NA,honest,toy,expt
3,2,LFeel,NA,honest,toy,expt
3,2,play,NA,honest,toy,expt
3,2,Pwhy,NA,honest,toy,expt
3,2,SWhy,NA,honest,toy,expt
3,3,1,truth,honest,game,expt
3,3,2,mean,honest,game,expt
3,3,3,nice,honest,game,expt
3,3,comp_like,NA,honest,game,expt
3,3,comp_tell,NA,honest,game,expt
3,3,LFeel,NA,honest,game,expt
3,3,play,NA,honest,game,expt
3,3,Pwhy,NA,honest,game,expt
3,3,SWhy,NA,honest,game,expt
3,4,1,truth,polite,game,expt
3,4,2,mean,polite,game,expt
3,4,3,nice,polite,game,expt
3,4,comp_like,NA,polite,game,expt
3,4,comp_tell,NA,polite,game,expt
3,4,LFeel,NA,polite,game,expt
3,4,play,NA,polite,game,expt
3,4,Pwhy,NA,polite,game,expt
3,4,SWhy,NA,polite,game,expt
3,5,1,truth,polite,drawing,cont
3,5,2,mean,polite,drawing,cont
3,5,3,nice,polite,drawing,cont
3,5,comp_like,NA,polite,drawing,cont
3,5,comp_tell,NA,polite,drawing,cont
3,5,LFeel,NA,polite,drawing,cont
3,5,play,NA,polite,drawing,cont
3,5,Pwhy,NA,polite,drawing,cont
3,5,SWhy,NA,polite,drawing,cont
3,6,1,truth,honest,drawing,cont
3,6,2,mean,honest,drawing,cont
3,6,3,nice,honest,drawing,cont
3,6,comp_like,NA,honest,drawing,cont
3,6,comp_tell,NA,honest,drawing,cont
3,6,LFeel,NA,honest,drawing,cont
3,6,play,NA,honest,drawing,cont
3,6,Pwhy,NA,honest,drawing,cont
3,6,SWhy,NA,honest,drawing,cont
3,7,1,truth,honest,cookie,cont
3,7,2,mean,honest,cookie,cont
3,7,3,nice,honest,cookie,cont
3,7,comp_like,NA,honest,cookie,cont
3,7,comp_tell,NA,honest,cookie,cont
3,7,LFeel,NA,honest,cookie,cont
3,7,play,NA,honest,cookie,cont
3,7,Pwhy,NA,honest,cookie,cont
3,7,SWhy,NA,honest,cookie,cont
3,8,1,truth,polite,cookie,cont
3,8,2,mean,polite,cookie,cont
3,8,3,nice,polite,cookie,cont
3,8,comp_like,NA,polite,cookie,cont
3,8,comp_tell,NA,polite,cookie,cont
3,8,LFeel,NA,polite,cookie,cont
3,8,play,NA,polite,cookie,cont
3,8,Pwhy,NA,polite,cookie,cont
3,8,SWhy,NA,polite,cookie,cont
4,1,1,nice,polite,toy,cont
4,1,2,mean,polite,toy,cont
4,1,3,truth,polite,toy,cont
4,1,comp_like,NA,polite,toy,cont
4,1,comp_tell,NA,polite,toy,cont
4,1,LFeel,NA,polite,toy,cont
4,1,play,NA,polite,toy,cont
4,1,Pwhy,NA,polite,toy,cont
4,1,SWhy,NA,polite,toy,cont
4,2,1,nice,honest,toy,cont
4,2,2,mean,honest,toy,cont
4,2,3,truth,honest,toy,cont
4,2,comp_like,NA,honest,toy,cont
4,2,comp_tell,NA,honest,toy,cont
4,2,LFeel,NA,honest,toy,cont
4,2,play,NA,honest,toy,cont
4,2,Pwhy,NA,honest,toy,cont
4,2,SWhy,NA,honest,toy,cont
4,3,1,nice,honest,game,cont
4,3,2,mean,honest,game,cont
4,3,3,truth,honest,game,cont
4,3,comp_like,NA,honest,game,cont
4,3,comp_tell,NA,honest,game,cont
4,3,LFeel,NA,honest,game,cont
4,3,play,NA,honest,game,cont
4,3,Pwhy,NA,honest,game,cont
4,3,SWhy,NA,honest,game,cont
4,4,1,nice,polite,game,cont
4,4,2,mean,polite,game,cont
4,4,3,truth,polite,game,cont
4,4,comp_like,NA,polite,game,cont
4,4,comp_tell,NA,polite,game,cont
4,4,LFeel,NA,polite,game,cont
4,4,play,NA,polite,game,cont
4,4,Pwhy,NA,polite,game,cont
4,4,SWhy,NA,polite,game,cont
4,5,1,nice,polite,drawing,expt
4,5,2,mean,polite,drawing,expt
4,5,3,truth,polite,drawing,expt
4,5,comp_like,NA,polite,drawing,expt
4,5,comp_tell,NA,polite,drawing,expt
4,5,LFeel,NA,polite,drawing,expt
4,5,play,NA,polite,drawing,expt
4,5,Pwhy,NA,polite,drawing,expt
4,5,SWhy,NA,polite,drawing,expt
4,6,1,nice,honest,drawing,expt
4,6,2,mean,honest,drawing,expt
4,6,3,truth,honest,drawing,expt
4,6,comp_like,NA,honest,drawing,expt
4,6,comp_tell,NA,honest,drawing,expt
4,6,LFeel,NA,honest,drawing,expt
4,6,play,NA,honest,drawing,expt
4,6,Pwhy,NA,honest,drawing,expt
4,6,SWhy,NA,honest,drawing,expt
4,7,1,nice,honest,cookie,expt
4,7,2,mean,honest,cookie,expt
4,7,3,truth,honest,cookie,expt
4,7,comp_like,NA,honest,cookie,expt
4,7,comp_tell,NA,honest,cookie,expt
4,7,LFeel,NA,honest,cookie,expt
4,7,play,NA,honest,cookie,expt
4,7,Pwhy,NA,honest,cookie,expt
4,7,SWhy,NA,honest,cookie,expt
4,8,1,nice,polite,cookie,expt
4,8,2,mean,polite,cookie,expt
4,8,3,truth,polite,cookie,expt
4,8,comp_like,NA,polite,cookie,expt
4,8,comp_tell,NA,polite,cookie,expt
4,8,LFeel,NA,polite,cookie,expt
4,8,play,NA,polite,cookie,expt
4,8,Pwhy,NA,polite,cookie,expt
4,8,SWhy,NA,polite,cookie,expt